Electors of President and Vice-President of the United States (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joseph R. Biden/Kamala D. Harris,,,Donald J. Trump/Michael R. Pence,,,Jo Jorgensen/Jeremy Cohen,,,Don Blankenship/William Mohr,,,Howie Hawkins/Angela Walker,,,Rocky De La Fuente/Darcy Richardson,,,Rejected write-ins,,,Unassigned write-ins,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Rochester Hills, Precinct 20",1247,475,72,547,269,174,443,3,5,8,0,0,0,1,1,2,0,0,0,0,0,0,2,1,3,1003
"Rochester Hills, Precinct 21",2005,589,139,728,489,454,943,9,4,13,0,1,1,0,1,1,0,0,0,0,0,0,1,1,2,1688
"Rochester Hills, Precinct 22",1405,527,92,619,326,166,492,1,5,6,0,0,0,1,1,2,0,1,1,0,0,0,5,2,7,1127
"Rochester Hills, Precinct 23",1403,516,79,595,278,193,471,7,0,7,1,0,1,3,0,3,1,0,1,0,0,0,3,2,5,1083
"Rochester Hills, Precinct 24",1796,676,79,755,445,253,698,6,2,8,1,0,1,0,0,0,1,0,1,0,0,0,3,1,4,1467
"Rochester Hills, Precinct 25",2307,781,162,943,516,386,902,6,9,15,2,0,2,2,0,2,0,0,0,0,0,0,4,1,5,1869
"Rochester Hills, Precinct 26",2594,903,157,1060,585,384,969,8,6,14,1,1,2,2,0,2,0,0,0,0,0,0,1,1,2,2049
"Rochester Hills, Precinct 27",1843,698,104,802,396,274,670,4,3,7,0,0,0,1,1,2,2,1,3,0,0,0,0,1,1,1485
"Rochester Hills, Precinct 28",1919,586,211,797,263,238,501,5,3,8,0,0,0,0,3,3,0,1,1,0,0,0,2,1,3,1313
"Rochester Hills, Precinct 29",1124,370,87,457,240,186,426,6,9,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,901
"Rochester Hills, Precinct 30",2374,899,143,1042,451,361,812,15,7,22,1,0,1,3,2,5,0,0,0,0,0,0,1,3,4,1886
"Rochester Hills, Precinct 31",1517,534,112,646,294,266,560,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1215
"Rochester Hills, Precinct 32",1767,616,124,740,382,280,662,4,2,6,1,0,1,5,2,7,0,1,1,0,0,0,2,1,3,1420
"Royal Oak, Precinct 1",2342,940,244,1184,219,252,471,9,6,15,2,0,2,0,2,2,0,0,0,0,0,0,3,3,6,1680
"Royal Oak, Precinct 2",2566,850,354,1204,281,361,642,22,7,29,1,1,2,4,4,8,0,0,0,0,0,0,2,3,5,1890
"Royal Oak, Precinct 3",1704,609,226,835,186,283,469,12,10,22,1,0,1,5,3,8,0,1,1,0,0,0,0,1,1,1337
"Royal Oak, Precinct 4",1865,681,270,951,174,267,441,9,10,19,1,0,1,2,0,2,0,1,1,0,0,0,1,0,1,1416
"Royal Oak, Precinct 5",1646,678,177,855,187,187,374,9,4,13,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1246
"Royal Oak, Precinct 6",2904,1122,402,1524,245,357,602,21,22,43,0,0,0,2,2,4,0,0,0,0,0,0,5,6,11,2184
"Royal Oak, Precinct 7",1976,709,266,975,190,218,408,5,7,12,1,0,1,3,0,3,0,0,0,0,0,0,2,1,3,1402
"Royal Oak, Precinct 8",2579,989,296,1285,352,355,707,10,15,25,0,0,0,2,2,4,0,0,0,0,0,0,0,1,1,2022
"Royal Oak, Precinct 9",2967,1153,365,1518,300,360,660,14,25,39,1,0,1,2,1,3,0,1,1,0,0,0,5,6,11,2233
"Royal Oak, Precinct 10",2137,807,248,1055,265,298,563,8,8,16,0,1,1,2,2,4,0,0,0,0,0,0,1,1,2,1641
"Royal Oak, Precinct 11",1872,627,255,882,201,269,470,9,9,18,0,0,0,1,1,2,1,0,1,0,0,0,4,2,6,1379
"Royal Oak, Precinct 12",2050,680,272,952,198,321,519,9,9,18,1,1,2,5,0,5,0,0,0,0,0,0,3,4,7,1503
"Royal Oak, Precinct 13",2205,800,280,1080,260,326,586,5,9,14,0,0,0,1,2,3,1,0,1,0,0,0,1,0,1,1685
"Royal Oak, Precinct 14",1762,764,172,936,262,225,487,6,5,11,0,2,2,0,0,0,0,1,1,0,0,0,4,0,4,1441
"Royal Oak, Precinct 15",1724,556,233,789,164,189,353,8,10,18,1,1,2,2,5,7,2,0,2,0,0,0,1,3,4,1175
"Royal Oak, Precinct 16",2864,1065,323,1388,377,359,736,14,7,21,1,1,2,2,4,6,0,0,0,0,0,0,8,6,14,2167
"Royal Oak, Precinct 17",1934,790,227,1017,249,246,495,7,6,13,2,3,5,2,1,3,0,1,1,0,0,0,2,5,7,1541
"Royal Oak, Precinct 18",2071,772,283,1055,234,254,488,7,12,19,0,0,0,3,1,4,0,0,0,0,0,0,3,0,3,1569
"Royal Oak, Precinct 19",2927,1043,403,1446,358,450,808,12,22,34,1,2,3,6,2,8,1,1,2,0,0,0,8,4,12,2313
"Royal Oak, Precinct 20",2290,903,260,1163,326,301,627,16,13,29,0,0,0,1,3,4,0,1,1,0,0,0,3,5,8,1832
"Royal Oak, Precinct 21",2237,856,274,1130,266,264,530,6,15,21,0,1,1,6,2,8,0,0,0,0,0,0,1,1,2,1692
"Royal Oak, Precinct 22",2300,859,289,1148,286,320,606,11,8,19,2,0,2,2,2,4,0,1,1,0,0,0,1,2,3,1783
"Royal Oak, Precinct 23",1869,628,244,872,212,301,513,2,9,11,1,2,3,3,1,4,0,0,0,0,0,0,2,1,3,1406
"Royal Oak, Precinct 24",1226,450,139,589,134,202,336,8,9,17,0,0,0,3,0,3,0,0,0,0,0,0,3,1,4,949
"South Lyon, Precinct 1",3315,1006,233,1239,690,574,1264,12,12,24,4,0,4,3,1,4,1,0,1,0,0,0,3,3,6,2542
"South Lyon, Precinct 2",2331,605,196,801,355,534,889,9,14,23,0,1,1,0,4,4,0,1,1,0,0,0,4,3,7,1726
"South Lyon, Precinct 3",2376,711,191,902,493,501,994,6,7,13,1,1,2,2,2,4,0,0,0,0,0,0,3,1,4,1919
"South Lyon, Precinct 4",1772,414,176,590,233,378,611,5,17,22,3,1,4,3,0,3,0,1,1,0,0,0,0,0,0,1231
"Southfield, Precinct 1",1753,960,229,1189,88,58,146,3,1,4,1,0,1,3,1,4,1,0,1,0,0,0,2,1,3,1348
"Southfield, Precinct 2",2135,1171,232,1403,169,99,268,10,1,11,5,0,5,3,2,5,0,0,0,0,0,0,3,2,5,1697
"Southfield, Precinct 3",1822,889,220,1109,105,86,191,3,6,9,0,1,1,0,1,1,0,0,0,0,0,0,1,4,5,1316
"Southfield, Precinct 4",2201,1054,271,1325,108,128,236,4,8,12,1,0,1,2,0,2,0,0,0,0,0,0,1,5,6,1582
"Southfield, Precinct 5",1267,581,192,773,95,124,219,7,8,15,1,0,1,3,1,4,1,1,2,0,0,0,1,3,4,1018
"Southfield, Precinct 6",1669,862,235,1097,90,75,165,6,0,6,0,1,1,1,0,1,0,0,0,0,0,0,5,1,6,1276
"Southfield, Precinct 7",1809,1018,253,1271,58,36,94,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,4,4,1373
"Southfield, Precinct 8",1469,782,214,996,74,53,127,1,0,1,0,0,0,5,1,6,0,2,2,0,0,0,1,2,3,1135
"Southfield, Precinct 9",1913,767,266,1033,120,129,249,7,11,18,1,1,2,1,0,1,1,0,1,0,0,0,9,2,11,1315
"Southfield, Precinct 10",1852,931,264,1195,79,56,135,3,0,3,0,0,0,4,2,6,0,0,0,0,0,0,4,1,5,1344
"Southfield, Precinct 11",2001,1020,296,1316,57,34,91,2,1,3,1,0,1,0,6,6,1,2,3,0,0,0,3,5,8,1428
"Southfield, Precinct 12",1605,901,240,1141,40,63,103,1,3,4,1,0,1,1,2,3,0,0,0,0,0,0,0,2,2,1254
"Southfield, Precinct 13",1743,790,158,948,168,167,335,0,0,0,1,1,2,2,0,2,0,0,0,0,0,0,1,0,1,1288
"Southfield, Precinct 14",1569,484,121,605,285,196,481,2,1,3,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,1094
"Southfield, Precinct 15",1433,672,229,901,53,46,99,2,2,4,1,0,1,1,2,3,0,1,1,0,0,0,3,1,4,1013
"Southfield, Precinct 16",1600,831,239,1070,52,37,89,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,3,2,5,1168
"Southfield, Precinct 17",1817,797,238,1035,108,191,299,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1341
"Southfield, Precinct 18",1893,852,398,1250,30,23,53,1,1,2,1,1,2,0,1,1,0,1,1,0,0,0,2,2,4,1313
"Southfield, Precinct 19",1474,573,301,874,40,74,114,5,4,9,1,0,1,0,2,2,0,0,0,0,0,0,1,0,1,1001
"Southfield, Precinct 20",1884,1007,287,1294,51,18,69,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,1,3,1369
"Southfield, Precinct 21",2015,1099,305,1404,44,23,67,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,2,3,5,1480
"Southfield, Precinct 22",2099,1074,281,1355,48,28,76,0,1,1,0,1,1,2,1,3,0,0,0,0,0,0,0,3,3,1439
"Southfield, Precinct 23",2015,1027,291,1318,72,56,128,2,2,4,0,1,1,3,1,4,0,0,0,0,0,0,2,0,2,1457
"Southfield, Precinct 24",1847,815,361,1176,48,40,88,3,3,6,4,1,5,1,3,4,0,0,0,0,0,0,1,0,1,1280
"Southfield, Precinct 25",1485,805,170,975,82,51,133,3,2,5,0,2,2,0,2,2,1,0,1,0,0,0,3,1,4,1122
"Southfield, Precinct 26",1844,997,204,1201,130,65,195,3,3,6,0,0,0,1,2,3,1,2,3,0,0,0,3,2,5,1413
"Southfield, Precinct 27",1785,852,274,1126,42,35,77,2,3,5,0,1,1,2,1,3,1,0,1,0,0,0,0,3,3,1216
"Southfield, Precinct 28",1873,684,342,1026,52,31,83,1,2,3,0,0,0,2,4,6,0,1,1,0,0,0,0,1,1,1120
"Southfield, Precinct 29",2290,1218,311,1529,106,76,182,4,3,7,0,1,1,3,5,8,0,0,0,0,0,0,2,0,2,1729
"Southfield, Precinct 30",2085,1055,220,1275,132,71,203,1,3,4,2,0,2,1,0,1,0,0,0,0,0,0,2,2,4,1489
"Southfield, Precinct 31",2010,924,296,1220,92,30,122,1,1,2,0,0,0,3,1,4,0,0,0,0,0,0,1,2,3,1351
"Southfield, Precinct 32",1517,757,220,977,75,67,142,2,4,6,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,1129
"Southfield, Precinct 33",2019,1055,366,1421,42,32,74,1,3,4,1,1,2,0,1,1,0,0,0,0,0,0,1,3,4,1506
"Southfield, Precinct 34",1562,573,241,814,97,141,238,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1058
"Southfield, Precinct 35",1554,603,289,892,37,51,88,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,2,2,4,988
"Southfield, Precinct 36",1582,588,260,848,63,94,157,3,3,6,1,0,1,2,1,3,1,0,1,0,0,0,2,2,4,1020
"Sylvan Lake, Precinct 1",1566,509,191,700,269,339,608,5,6,11,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,1323
"Troy, Precinct 1",1480,532,128,660,240,262,502,6,1,7,0,0,0,2,0,2,0,0,0,0,0,0,2,1,3,1174
"Troy, Precinct 2",2461,824,199,1023,469,389,858,6,6,12,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,1897
"Troy, Precinct 3",2280,713,129,842,485,443,928,7,3,10,0,0,0,2,0,2,0,0,0,0,0,0,6,1,7,1789
"Troy, Precinct 4",3064,1195,153,1348,627,395,1022,15,7,22,1,0,1,1,3,4,1,0,1,0,0,0,6,1,7,2405
"Troy, Precinct 5",1568,465,108,573,412,289,701,14,3,17,2,1,3,0,1,1,0,0,0,0,0,0,2,0,2,1297
"Troy, Precinct 6",544,183,49,232,117,106,223,2,2,4,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,463
"Troy, Precinct 7",1857,713,109,822,413,207,620,2,2,4,1,0,1,1,1,2,0,0,0,0,0,0,2,1,3,1452
"Troy, Precinct 8",1958,713,171,884,298,267,565,5,2,7,0,1,1,3,1,4,0,0,0,0,0,0,1,0,1,1462
"Troy, Precinct 9",2412,775,159,934,550,427,977,8,6,14,2,1,3,1,1,2,0,0,0,0,0,0,3,4,7,1937
"Troy, Precinct 10",2226,807,172,979,405,376,781,6,7,13,0,0,0,2,1,3,1,0,1,0,0,0,3,1,4,1781
"Troy, Precinct 11",1967,704,159,863,438,304,742,6,2,8,0,1,1,1,1,2,0,0,0,0,0,0,2,1,3,1619
"Troy, Precinct 12",1561,587,75,662,328,251,579,2,8,10,0,0,0,2,0,2,0,0,0,0,0,0,2,3,5,1258
"Troy, Precinct 13",3004,1134,215,1349,525,451,976,9,10,19,3,2,5,5,1,6,2,1,3,0,0,0,4,1,5,2363
"Troy, Precinct 14",2282,762,161,923,431,382,813,9,3,12,1,1,2,1,2,3,2,0,2,0,0,0,0,2,2,1757
"Troy, Precinct 15",2107,803,172,975,352,345,697,8,3,11,2,0,2,3,3,6,1,0,1,0,0,0,4,1,5,1697
"Troy, Precinct 16",1802,629,167,796,308,301,609,5,9,14,1,0,1,2,2,4,0,0,0,0,0,0,3,1,4,1428
"Troy, Precinct 17",2349,917,132,1049,468,243,711,6,2,8,1,0,1,1,1,2,0,1,1,0,0,0,5,0,5,1777
"Troy, Precinct 18",1658,561,116,677,330,254,584,7,6,13,4,1,5,3,0,3,0,1,1,0,0,0,0,3,3,1286
"Troy, Precinct 19",1588,646,109,755,332,231,563,17,2,19,1,0,1,2,1,3,0,0,0,0,0,0,5,0,5,1346
"Troy, Precinct 20",2370,875,158,1033,504,332,836,11,3,14,1,0,1,3,2,5,1,0,1,0,0,0,2,1,3,1893
"Troy, Precinct 21",1712,582,148,730,225,328,553,7,9,16,1,0,1,3,3,6,0,0,0,0,0,0,3,1,4,1310
"Troy, Precinct 22",2925,1105,223,1328,518,402,920,9,2,11,3,2,5,0,1,1,0,0,0,0,0,0,3,2,5,2270
"Troy, Precinct 23",2939,1087,211,1298,530,460,990,6,6,12,0,1,1,1,2,3,0,0,0,0,0,0,2,5,7,2311
"Troy, Precinct 24",2562,653,194,847,454,528,982,12,10,22,5,0,5,5,2,7,0,0,0,0,0,0,0,2,2,1865
"Troy, Precinct 25",2937,793,225,1018,431,446,877,13,10,23,4,2,6,5,1,6,0,0,0,0,0,0,1,2,3,1933
"Troy, Precinct 26",2705,800,231,1031,345,391,736,8,7,15,2,0,2,1,1,2,1,0,1,0,0,0,1,2,3,1790
"Troy, Precinct 27",2125,635,186,821,306,226,532,5,8,13,2,1,3,3,0,3,1,0,1,0,0,0,4,0,4,1377
"Troy, Precinct 28",2039,639,195,834,230,210,440,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1282
"Troy, Precinct 29",2610,941,180,1121,479,396,875,11,13,24,2,0,2,1,1,2,0,0,0,0,0,0,2,1,3,2027
"Troy, Precinct 30",614,237,43,280,101,89,190,6,2,8,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,481
"Troy, Precinct 31",884,309,65,374,196,147,343,6,3,9,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1,731
"Walled Lake, Precinct 1",2136,453,249,702,293,377,670,8,12,20,0,0,0,0,1,1,0,2,2,0,0,0,1,2,3,1398
"Walled Lake, Precinct 2",2148,548,236,784,356,456,812,3,5,8,1,1,2,3,0,3,0,0,0,0,0,0,2,0,2,1611
"Walled Lake, Precinct 3",1531,373,147,520,214,360,574,9,9,18,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1115
"Wixom, Precinct 1",2829,822,189,1011,711,495,1206,9,6,15,4,0,4,5,1,6,0,0,0,0,0,0,3,4,7,2249
"Wixom, Precinct 2",2274,663,152,815,551,445,996,25,8,33,0,1,1,4,0,4,0,0,0,0,0,0,2,0,2,1851
"Wixom, Precinct 3",3403,998,381,1379,256,284,540,13,14,27,4,0,4,6,3,9,0,0,0,0,0,0,5,2,7,1966
"Wixom, Precinct 4",2885,870,233,1103,563,443,1006,15,13,28,3,0,3,5,3,8,2,0,2,0,0,0,2,1,3,2153
Total:,1035172,337880,96102,433982,167212,158704,325916,3910,3372,7282,500,231,731,996,749,1745,190,141,331,0,0,0,1066,716,1782,771769
