Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Royal Oak, Precinct 22",2300,466,128,594,165,173,338,2,2,4,0,0,0,0,1,1,2,1,3,0,1,1,941
"Royal Oak, Precinct 23",1869,321,116,437,126,167,293,0,3,3,0,0,0,0,2,2,1,1,2,0,0,0,737
"Royal Oak, Precinct 24",1226,219,67,286,70,106,176,5,0,5,0,0,0,1,0,1,0,1,1,0,0,0,469
"South Lyon, Precinct 1",3315,539,106,645,483,326,809,1,5,6,1,0,1,0,1,1,2,0,2,0,1,1,1465
"South Lyon, Precinct 2",2331,274,79,353,211,305,516,7,3,10,0,0,0,2,4,6,0,2,2,0,0,0,887
"South Lyon, Precinct 3",2376,312,84,396,306,282,588,2,2,4,0,1,1,0,1,1,2,1,3,0,0,0,993
"South Lyon, Precinct 4",1772,212,79,291,152,210,362,3,5,8,1,0,1,0,1,1,2,0,2,0,3,3,668
"Southfield, Precinct 1",1753,704,168,872,66,32,98,1,0,1,1,2,3,2,1,3,0,1,1,0,0,0,978
"Southfield, Precinct 2",2135,757,142,899,119,65,184,4,0,4,1,1,2,0,1,1,2,1,3,0,0,0,1093
"Southfield, Precinct 3",1822,647,161,808,59,53,112,3,3,6,0,0,0,2,3,5,0,1,1,0,0,0,932
"Southfield, Precinct 4",2201,797,180,977,66,86,152,1,3,4,0,2,2,4,2,6,2,1,3,0,0,0,1144
"Southfield, Precinct 5",1267,373,121,494,56,69,125,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,623
"Southfield, Precinct 6",1669,638,151,789,55,46,101,3,0,3,0,0,0,1,0,1,1,1,2,0,0,0,896
"Southfield, Precinct 7",1809,751,190,941,37,17,54,0,1,1,1,1,2,1,1,2,0,0,0,0,0,0,1000
"Southfield, Precinct 8",1469,577,169,746,45,31,76,1,0,1,1,1,2,2,0,2,1,0,1,0,1,1,829
"Southfield, Precinct 9",1913,543,182,725,89,77,166,5,5,10,1,1,2,3,2,5,1,1,2,0,0,0,910
"Southfield, Precinct 10",1852,699,191,890,52,39,91,0,1,1,0,0,0,3,2,5,1,0,1,0,1,1,989
"Southfield, Precinct 11",2001,810,223,1033,36,22,58,1,1,2,0,0,0,2,4,6,0,3,3,1,2,3,1105
"Southfield, Precinct 12",1605,712,172,884,29,37,66,1,0,1,0,1,1,1,0,1,2,0,2,0,0,0,955
"Southfield, Precinct 13",1743,618,112,730,100,89,189,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,922
"Southfield, Precinct 14",1569,389,93,482,191,120,311,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,795
"Southfield, Precinct 15",1433,511,167,678,29,28,57,1,2,3,1,1,2,1,2,3,0,2,2,0,0,0,745
"Southfield, Precinct 16",1600,647,168,815,26,19,45,1,1,2,0,0,0,1,3,4,0,0,0,0,0,0,866
"Southfield, Precinct 17",1817,635,177,812,70,99,169,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,987
"Southfield, Precinct 18",1893,700,301,1001,17,11,28,1,2,3,0,1,1,1,2,3,0,2,2,0,1,1,1039
"Southfield, Precinct 19",1474,437,227,664,25,37,62,3,3,6,0,1,1,0,0,0,0,3,3,0,0,0,736
"Southfield, Precinct 20",1884,806,216,1022,31,13,44,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1069
"Southfield, Precinct 21",2015,863,236,1099,24,11,35,1,2,3,0,0,0,0,2,2,0,0,0,0,0,0,1139
"Southfield, Precinct 22",2099,892,235,1127,21,18,39,1,2,3,1,1,2,4,4,8,0,1,1,0,1,1,1181
"Southfield, Precinct 23",2015,782,202,984,46,32,78,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,1066
"Southfield, Precinct 24",1847,621,259,880,28,21,49,1,3,4,2,0,2,1,1,2,0,1,1,0,0,0,938
"Southfield, Precinct 25",1485,607,131,738,48,28,76,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,817
"Southfield, Precinct 26",1844,734,140,874,79,39,118,1,0,1,1,0,1,0,2,2,0,0,0,0,1,1,997
"Southfield, Precinct 27",1785,690,212,902,33,17,50,1,3,4,0,0,0,1,0,1,2,2,4,0,0,0,961
"Southfield, Precinct 28",1873,548,266,814,34,18,52,2,2,4,0,1,1,2,2,4,4,3,7,0,0,0,882
"Southfield, Precinct 29",2290,920,216,1136,63,37,100,2,1,3,1,2,3,2,1,3,0,0,0,1,0,1,1246
"Southfield, Precinct 30",2085,840,167,1007,93,48,141,0,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1152
"Southfield, Precinct 31",2010,729,229,958,73,20,93,1,2,3,1,1,2,3,2,5,0,1,1,0,0,0,1062
"Southfield, Precinct 32",1517,584,171,755,50,33,83,1,2,3,0,1,1,1,3,4,1,0,1,0,0,0,847
"Southfield, Precinct 33",2019,837,274,1111,28,18,46,1,2,3,1,1,2,3,0,3,0,1,1,1,1,2,1168
"Southfield, Precinct 34",1562,394,165,559,53,98,151,3,2,5,2,0,2,0,2,2,0,1,1,1,0,1,721
"Southfield, Precinct 35",1554,478,235,713,22,28,50,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,767
"Southfield, Precinct 36",1582,462,206,668,39,52,91,1,1,2,0,0,0,5,0,5,0,2,2,2,0,2,770
"Sylvan Lake, Precinct 1",1566,251,84,335,165,207,372,2,1,3,0,0,0,0,1,1,1,0,1,0,0,0,712
"Troy, Precinct 1",1480,328,71,399,156,163,319,3,0,3,0,0,0,1,0,1,3,0,3,0,0,0,725
"Troy, Precinct 2",2461,483,95,578,301,241,542,1,5,6,0,0,0,0,1,1,0,1,1,0,0,0,1128
"Troy, Precinct 3",2280,373,74,447,319,292,611,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1061
"Troy, Precinct 4",3064,667,81,748,383,221,604,3,1,4,0,2,2,1,0,1,0,1,1,0,0,0,1360
"Troy, Precinct 5",1568,213,52,265,286,176,462,1,1,2,0,1,1,0,0,0,0,1,1,1,0,1,732
"Troy, Precinct 6",544,100,24,124,93,64,157,0,1,1,0,1,1,0,0,0,1,1,2,1,0,1,286
"Troy, Precinct 7",1857,413,53,466,278,149,427,1,2,3,0,0,0,0,0,0,1,1,2,0,0,0,898
"Troy, Precinct 8",1958,396,91,487,197,150,347,3,0,3,1,0,1,0,0,0,2,1,3,0,0,0,841
"Troy, Precinct 9",2412,411,88,499,333,264,597,3,2,5,1,1,2,0,1,1,1,1,2,0,0,0,1106
"Troy, Precinct 10",2226,423,79,502,256,220,476,0,3,3,0,0,0,0,0,0,0,1,1,1,0,1,983
"Troy, Precinct 11",1967,369,95,464,274,161,435,2,2,4,0,0,0,1,0,1,0,0,0,1,0,1,905
"Troy, Precinct 12",1561,314,41,355,207,159,366,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,724
"Troy, Precinct 13",3004,604,120,724,332,268,600,5,1,6,3,1,4,0,0,0,2,0,2,0,0,0,1336
"Troy, Precinct 14",2282,439,73,512,298,250,548,1,1,2,0,0,0,0,2,2,0,0,0,0,1,1,1065
"Troy, Precinct 15",2107,456,95,551,214,213,427,1,0,1,2,0,2,0,0,0,1,1,2,0,0,0,983
"Troy, Precinct 16",1802,349,83,432,198,174,372,0,5,5,0,0,0,0,1,1,0,2,2,1,1,2,814
"Troy, Precinct 17",2349,534,63,597,297,163,460,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1061
"Troy, Precinct 18",1658,262,52,314,209,157,366,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1,684
"Troy, Precinct 19",1588,280,46,326,206,138,344,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,674
"Troy, Precinct 20",2370,487,90,577,335,204,539,4,0,4,2,1,3,0,0,0,1,0,1,0,1,1,1125
"Troy, Precinct 21",1712,353,78,431,155,194,349,2,2,4,0,0,0,0,2,2,3,1,4,0,0,0,790
"Troy, Precinct 22",2925,602,111,713,330,244,574,2,1,3,4,0,4,0,2,2,1,0,1,0,0,0,1297
"Troy, Precinct 23",2939,641,113,754,315,275,590,2,4,6,0,1,1,3,3,6,0,0,0,2,0,2,1359
"Troy, Precinct 24",2562,403,119,522,286,365,651,2,2,4,3,0,3,0,1,1,1,1,2,0,0,0,1183
"Troy, Precinct 25",2937,510,140,650,310,283,593,3,4,7,2,2,4,3,2,5,4,1,5,0,2,2,1266
"Troy, Precinct 26",2705,484,126,610,250,220,470,5,1,6,2,1,3,3,1,4,0,1,1,0,0,0,1094
"Troy, Precinct 27",2125,429,124,553,224,154,378,3,2,5,0,0,0,1,0,1,4,0,4,1,1,2,943
"Troy, Precinct 28",2039,402,115,517,152,131,283,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,804
"Troy, Precinct 29",2610,421,71,492,294,210,504,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1002
"Troy, Precinct 30",614,124,12,136,58,56,114,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,253
"Troy, Precinct 31",884,145,32,177,127,84,211,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,390
"Walled Lake, Precinct 1",2136,299,154,453,199,230,429,1,5,6,0,1,1,1,1,2,0,2,2,0,0,0,893
"Walled Lake, Precinct 2",2148,334,137,471,212,265,477,2,3,5,0,0,0,1,2,3,2,1,3,0,1,1,960
"Walled Lake, Precinct 3",1531,215,72,287,156,203,359,0,4,4,0,0,0,1,1,2,0,1,1,0,1,1,654
"Wixom, Precinct 1",2829,377,75,452,429,293,722,5,5,10,1,0,1,0,0,0,1,0,1,0,0,0,1186
"Wixom, Precinct 2",2274,324,56,380,311,226,537,2,2,4,0,0,0,2,0,2,0,0,0,0,0,0,923
"Wixom, Precinct 3",3403,719,267,986,183,189,372,3,4,7,6,2,8,3,4,7,3,2,5,0,1,1,1386
"Wixom, Precinct 4",2885,511,116,627,385,275,660,2,5,7,1,1,2,4,1,5,1,1,2,1,0,1,1304
Total:,1035172,193801,52887,246688,105299,92892,198191,936,1120,2056,216,204,420,416,639,1055,443,378,821,104,127,231,449462
