Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Lyon Township, Precinct 2",535,75,9,84,95,71,166,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,254
"Lyon Township, Precinct 3",2577,305,87,392,404,298,702,5,2,7,1,1,2,0,3,3,0,0,0,0,0,0,1106
"Lyon Township, Precinct 4",2009,223,77,300,288,278,566,3,1,4,0,0,0,1,2,3,1,2,3,0,0,0,876
"Lyon Township, Precinct 5",2302,311,48,359,481,224,705,2,3,5,1,0,1,1,0,1,2,0,2,0,1,1,1074
"Lyon Township, Precinct 6",3268,432,83,515,686,419,1105,3,1,4,1,1,2,0,0,0,0,1,1,2,0,2,1629
"Lyon Township, Precinct 7",468,88,16,104,71,42,113,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,218
"Lyon Township, Precinct 8",508,63,22,85,79,97,176,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,263
"Lyon Township, Precinct 9",2195,293,76,369,294,259,553,1,2,3,0,0,0,1,1,2,1,1,2,0,0,0,929
"Milford Township, Precinct 1",1880,171,47,218,337,236,573,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,793
"Milford Township, Precinct 2",1958,180,68,248,219,274,493,0,3,3,0,0,0,0,2,2,1,0,1,1,0,1,748
"Milford Township, Precinct 3",1995,249,42,291,346,261,607,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,901
"Milford Township, Precinct 4",1565,189,31,220,259,209,468,2,0,2,0,0,0,1,0,1,1,1,2,0,0,0,693
"Milford Township, Precinct 5",1610,202,39,241,279,169,448,4,2,6,0,0,0,0,0,0,0,1,1,0,0,0,696
"Milford Township, Precinct 6",1857,304,48,352,252,184,436,1,2,3,1,0,1,0,1,1,1,0,1,1,0,1,795
"Milford Township, Precinct 7",2252,350,70,420,290,264,554,4,4,8,1,0,1,0,2,2,2,0,2,0,0,0,987
"Milford Township, Precinct 8",1475,225,63,288,193,152,345,0,2,2,0,0,0,0,1,1,0,0,0,1,0,1,637
"Novi Township, Precinct 1",138,0,33,33,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"Oakland Township, Precinct 1",1976,268,53,321,329,263,592,2,1,3,0,0,0,0,1,1,0,0,0,1,1,2,919
"Oakland Township, Precinct 2",2305,268,92,360,289,352,641,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1003
